Date,Price,diff_1
2015-06-08,4.225,0.09499999999999975
2015-06-09,4.245,0.020000000000000462
2015-06-10,4.265,0.019999999999999574
2015-06-11,4.32,0.055000000000000604
2015-06-12,4.34,0.019999999999999574
2015-06-15,4.35,0.009999999999999787
2015-06-16,4.36,0.010000000000000675
2015-06-17,4.29,-0.07000000000000028
2015-06-18,4.38,0.08999999999999986
2015-06-19,4.4,0.020000000000000462
2015-06-22,4.4054,0.005399999999999849
2015-06-23,4.3902,-0.015200000000000102
2015-06-24,4.415,0.024799999999999933
2015-06-25,4.405,-0.009999999999999787
2015-06-26,4.405,0.0
2015-06-29,4.3863,-0.01869999999999994
2015-06-30,4.3602,-0.026100000000000456
2015-07-01,4.35,-0.010200000000000209
2015-07-02,4.25,-0.09999999999999964
2015-07-03,4.12,-0.1299999999999999
2015-07-06,3.97,-0.1499999999999999
2015-07-07,3.9504,-0.019600000000000062
2015-07-08,3.75,-0.20040000000000013
2015-07-09,3.5502,-0.1998000000000002
2015-07-10,3.55,-0.00019999999999997797
2015-07-13,3.46,-0.08999999999999986
2015-07-14,3.5,0.040000000000000036
2015-07-15,3.45,-0.04999999999999982
2015-07-16,3.35,-0.10000000000000009
2015-07-17,3.3453,-0.0047000000000001485
2015-07-20,3.3,-0.04530000000000012
2015-07-21,3.2901,-0.00990000000000002
2015-07-22,3.35,0.059900000000000286
2015-07-23,3.35,0.0
2015-07-24,3.4,0.04999999999999982
2015-07-27,3.5902,0.19019999999999992
2015-07-28,3.7452,0.15500000000000025
2015-07-29,3.7,-0.04519999999999991
2015-07-30,3.77,0.06999999999999984
2015-07-31,3.82,0.04999999999999982
2015-08-03,3.82,0.0
2015-08-04,3.8652,0.04520000000000035
2015-08-05,3.85,-0.015200000000000102
2015-08-06,3.87,0.020000000000000018
2015-08-07,3.905,0.0349999999999997
2015-08-10,3.9104,0.0054000000000002935
2015-08-11,4.01,0.09959999999999969
2015-08-12,3.9818,-0.028200000000000003
2015-08-13,4.09,0.10820000000000007
2015-08-14,4.155,0.06500000000000039
2015-08-17,4.11,-0.04499999999999993
2015-08-18,4.13,0.019999999999999574
2015-08-19,4.115,-0.01499999999999968
2015-08-20,4.2002,0.0851999999999995
2015-08-21,4.2025,0.0022999999999999687
2015-08-24,4.2252,0.022700000000000387
2015-08-25,4.32,0.09480000000000022
2015-08-26,4.3,-0.020000000000000462
2015-08-27,4.09,-0.20999999999999996
2015-08-28,4.03,-0.05999999999999961
2015-08-31,3.9,-0.13000000000000034
2015-09-01,3.83,-0.06999999999999984
2015-09-02,3.795,-0.03500000000000014
2015-09-03,3.82,0.02499999999999991
2015-09-04,3.8,-0.020000000000000018
2015-09-07,3.85,0.050000000000000266
2015-09-08,3.905,0.054999999999999716
2015-09-09,3.9,-0.004999999999999893
2015-09-10,3.855,-0.04499999999999993
2015-09-11,3.905,0.04999999999999982
2015-09-14,3.8712,-0.03379999999999983
2015-09-15,4.03,0.15880000000000027
2015-09-16,4.01,-0.020000000000000462
2015-09-17,3.93,-0.07999999999999963
2015-09-18,3.9,-0.03000000000000025
2015-09-21,3.9298,0.02980000000000027
2015-09-22,3.9052,-0.0246000000000004
2015-09-23,3.855,-0.0501999999999998
2015-09-24,3.855,0.0
2015-09-25,3.82,-0.03500000000000014
2015-09-28,3.785,-0.0349999999999997
2015-09-29,3.7733,-0.011700000000000266
2015-09-30,3.75,-0.023299999999999876
2015-10-01,3.7318,-0.018200000000000216
2015-10-02,3.73,-0.0017999999999998018
2015-10-05,3.705,-0.02499999999999991
2015-10-06,3.7659,0.06089999999999973
2015-10-07,3.7565,-0.009399999999999853
2015-10-08,3.7504,-0.006099999999999994
2015-10-09,3.76,0.009599999999999831
2015-10-12,3.8075,0.04750000000000032
2015-10-13,3.7548,-0.05270000000000019
2015-10-14,3.83,0.07520000000000016
2015-10-15,3.8296,-0.00039999999999995595
2015-10-16,3.84,0.010399999999999743
2015-10-19,3.905,0.06499999999999995
2015-10-20,3.9,-0.004999999999999893
2015-10-21,3.83,-0.06999999999999984
2015-10-22,3.82,-0.010000000000000231
2015-10-23,3.8048,-0.015199999999999658
2015-10-26,3.79,-0.014800000000000146
2015-10-27,3.815,0.02499999999999991
2015-10-28,3.8,-0.015000000000000124
2015-10-29,3.8,0.0
2015-10-30,3.775,-0.02499999999999991
2015-11-02,3.88,0.10499999999999998
2015-11-03,3.865,-0.01499999999999968
2015-11-04,3.8502,-0.014800000000000146
2015-11-05,3.8,-0.050200000000000244
2015-11-06,3.7812,-0.018799999999999706
2015-11-09,3.7812,0.0
2015-11-10,3.81,0.028799999999999937
2015-11-11,3.8175,0.00749999999999984
2015-11-12,3.815,-0.0024999999999999467
2015-11-13,3.82,0.004999999999999893
2015-11-16,3.82,0.0
2015-11-17,3.825,0.0050000000000003375
2015-11-18,3.7775,-0.04750000000000032
2015-11-19,3.7542,-0.023299999999999876
2015-11-20,3.8206,0.06640000000000024
2015-11-23,3.7927,-0.027900000000000258
2015-11-24,3.83,0.03730000000000011
2015-11-25,3.7257,-0.10430000000000028
2015-11-26,3.765,0.039300000000000335
2015-11-27,3.815,0.04999999999999982
2015-11-30,3.7738,-0.0411999999999999
2015-12-01,3.7776,0.0038000000000000256
2015-12-02,3.7726,-0.004999999999999893
2015-12-03,3.8,0.027399999999999647
2015-12-04,3.7579,-0.042100000000000026
2015-12-07,3.7738,0.015900000000000247
2015-12-08,3.81,0.03620000000000001
2015-12-09,3.7494,-0.06059999999999999
2015-12-10,3.7961,0.046699999999999964
2015-12-11,3.825,0.028900000000000148
2015-12-14,3.7962,-0.02880000000000038
2015-12-15,3.7359,-0.0602999999999998
2015-12-16,3.81,0.07410000000000005
2015-12-17,3.81,0.0
2015-12-18,3.7933,-0.01670000000000016
2015-12-21,3.7962,0.0028999999999999027
2015-12-22,3.82,0.023800000000000043
2015-12-23,3.8245,0.0045000000000001705
