Date,true-y,linear,rbf,poly
2019-07-31,5.4,5.399327330374628,5.397368772189034,5.394937155645676
2019-08-01,5.405,5.409884217456913,5.407943539411168,5.404985200025589
2019-08-02,5.4,5.4051591672960475,5.402979596438336,5.400890722416484
2019-08-05,5.3914,5.397575163182772,5.395348363949079,5.392930121596913
2019-08-06,5.405,5.401042676343475,5.39908332176221,5.395770339908836
2019-08-07,5.4,5.396818826629615,5.394510405453681,5.392947697205242
2019-08-08,5.41,5.407808997912544,5.405798968480614,5.4027593847913264
2019-08-09,5.435,5.424071304366883,5.422198014504458,5.419716921271574
2019-08-12,5.3926,5.404198551156719,5.401475044033488,5.401898192909972
2019-08-13,5.425,5.424555605831448,5.423228891403426,5.417498256130924
2019-08-14,5.425,5.413199269512147,5.410927065823,5.410450814373449
2019-08-15,5.4498,5.443990193627929,5.442154297598802,5.439443266119514
2019-08-16,5.455,5.451087837859626,5.448916587703456,5.448547228930291
2019-08-19,5.45,5.456456984979596,5.454131934973251,5.453459377905606
2019-08-20,5.46,5.460552599393693,5.458407582288095,5.4569536924028705
2019-08-21,5.4725,5.4667290894055265,5.4645106921347955,5.463990299890274
2019-08-22,5.45,5.456600194038345,5.453907248002023,5.454629687373962
2019-08-23,5.455,5.457688625180608,5.455567116709047,5.453271623451239
2019-08-26,5.46,5.451744775130646,5.449367764035298,5.448430921623152
2019-08-27,5.475,5.4657542117819355,5.463572415772924,5.462172894506935
2019-08-28,5.475,5.470983138869379,5.468610050938757,5.468230441874727
2019-08-29,5.475,5.4759229423342095,5.473605257364106,5.472476316116305
2019-08-30,5.475,5.474093278568936,5.47174844631364,5.470608979890824
2019-09-02,5.475,5.47296882133234,5.47061838469245,5.469375560804128
2019-09-03,5.4783,5.474544655401261,5.472243791796934,5.4707695547150115
2019-09-04,5.4783,5.474906462743892,5.472560568440852,5.471242249413575
2019-09-05,5.4848,5.4803160876504675,5.478088687609959,5.476299753472187
2019-09-06,5.4848,5.481335991564239,5.479004701310062,5.47772319823734
2019-09-09,5.48,5.480173533594923,5.477824073723605,5.476244660053414
2019-09-10,5.48,5.478319337381181,5.4760590633084885,5.473914506608373
2019-09-11,5.445,5.452387955825812,5.44972866551795,5.448436705183748
2019-09-12,5.4783,5.467541768645293,5.46606362431419,5.460192962962352
2019-09-13,5.434,5.4326075516408725,5.42992082408058,5.429602540509201
2019-09-16,5.49,5.476687520712738,5.475763520380672,5.4678345871166405
2019-09-17,5.49,5.472308638290088,5.470411779844262,5.469695767191405
